Site,Latitude,Longitude,Material,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age,14C st dev
Brigantine City- NJ,39.426,74.390,Salt peat,,6951-6453,-12.95,0.77,Stuiver and Daddario (1963),3,5890,100
Brigantine NWR,39.483,74.424,Salt peat,,3387-2929,-4.65,0.77,Stuiver and Daddario (1963),3,3000,90
Brigantine NWR,39.479,74.419,Salt peat,,4517-3929,-7.35,0.77,Stuiver and Daddario (1963),3,3830,100
Brigantine NWR,39.454,74.405,Salt peat,,5643-5315,-10.25,0.78,Stuiver and Daddario (1963),3,4760,80
Brigantine NWR,39.485,74.426,Salt peat,,1922-1720,-2.55,0.77,Stuiver and Daddario (1963),3,1890,40
Great Bay,39.561,74.349,Salt peat,,3475-2879,-4.05,0.77,Psuty et al. (1986),3,3035,120
Great Bay,39.522,74.324,Salt peat,,5565-4843,-8.35,0.78,Psuty et al. (1986),3,4495,125
Great Bay,39.522,74.324,Salt peat,,5264-4256,-8.35,0.78,Psuty et al. (1986),3,4175,145
Sea Island City,39.200,74.700,Salt peat,,1177-559,-1.31,0.80,Cinquemani et al. (1982),3,920,160
Sea Island City,39.200,74.700,Salt peat,,2715-2149,-2.81,0.80,Cinquemani et al. (1982),3,2345,100
Sea Island City,39.200,74.700,Salt peat,,3204-2720,-4.76,0.80,Cinquemani et al. (1982),3,2760,100
Sea Island City,39.200,74.700,Salt peat,,3981-3445,-5.51,0.81,Cinquemani et al. (1982),3,3440,110
Sea Island City,39.200,74.700,Salt peat,,4816-4092,-7.36,0.81,Cinquemani et al. (1982),3,3960,110
Sea lsland City,39.180,74.730,Salt peat,,2695-1993,-3.51,0.80,Pardi et al. (1984),3,2260,100
Brigantine Marsh,39.420,74.354,Salt peat,-13.2,462-0,-1.70,0.68,Donnelly et al. (2004b),2,240,50
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-10.1,1263-1147,-2.43,0.28,This publication,1,1249,13
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-1.7,1407-1349,-2.70,0.28,This publication,1,1502,14
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-28.7,1228-1004,-2.23,0.28,This publication,1,1188,30
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-14.6,1379-1517,-2.93,0.28,This publication,1,1541,14
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-12,452-308,-1.52,0.28,This publication,1,319,13
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-14.4,1521-1383,-3.03,0.28,This publication,1,1550,25
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-13.78,926-794,-2.09,0.28,This publication,1,950,30
Little Egg Inlet- NJ,39.412,74.123,Salt peat,,9239-7799,-30.15,1.53,Field et al. (1979),1,7600,300
Great Bay,39.549,74.342,Salt peat,,3448-2972,-6.95,0.78,Psuty et al. (1986),3,3050,95
Great Bay,39.510,74.320,Salt peat,,1257-1009,-1.45,0.31,Miller et al. (2009),1,1200,35
Great Bay,39.510,74.320,Salt peat,,3156-2926,-5.11,0.31,Miller et al. (2009),1,2890,30
Core 127,39.417,74.256,Salt peat,,8581-8401,-17.37,0.60,Miller et al. (2009),3,7690,50
Core 127,39.417,74.256,Salt peat,,8171-7749,-17.62,0.60,Miller et al. (2009),3,7130,100
Brigantine Marsh,39.420,74.354,Salt peat,-12.4,426-0,-0.85,0.68,Donnelly et al. (2004b),3,210,50
Brigantine Marsh,39.420,74.354,Salt peat,-15.1,488-308,-0.96,0.68,Donnelly et al. (2004b),3,340,40
Brigantine Marsh,39.420,74.354,Salt peat,-19.6,1386-1284,-2.60,0.68,Donnelly et al. (2004b),3,1420,40
Brigantine Marsh,39.420,74.354,Salt peat,-15.4,617-319,-0.82,0.68,Donnelly et al. (2004b),3,450,50
Whale Beach,39.184,74.671,Sa,,428-0,-0.94,0.79,Donnelly et al. (2001),2,230,40
Whale Beach,39.184,74.671,Sa,,266-0,-0.57,0.79,Donnelly et al. (2001),2,60,40
Whale Beach,39.184,74.671,Sa,,420-0,-0.55,0.79,Donnelly et al. (2001),2,210,40
Whale Beach,39.184,74.671,Sa,,426-0,-0.66,0.79,Donnelly et al. (2001),2,220,40
Whale Beach,39.184,74.671,Sa,,274-0,-0.66,0.79,Donnelly et al. (2001),2,110,40
Whale Beach,39.184,74.671,Sa,,490-0,-0.89,0.79,Donnelly et al. (2001),2,290,50
Whale Beach,39.184,74.671,Sa,,475-289,-0.79,0.79,Donnelly et al. (2001),2,300,40
Cheesequake Marsh,40.400,74.300,Salt peat,,5741-5319,-10.95,0.86,Cinquemani et al. (1982),3,4820,95
Whale Beach,39.184,74.671,Sa,,653-513,-1.27,0.79,Donnelly et al. (2001),2,560,50
Cheesequake Marsh,40.400,74.300,Salt peat,,2457-1625,-3.32,0.85,Cinquemani et al. (1982),3,2080,160
Cheesequake Marsh,40.400,74.300,Salt peat,,1510-738,-2.62,0.85,Cinquemani et al. (1982),3,1210,185
Cheesequake Marsh,40.400,74.300,Salt peat,,2306-1572,-2.85,0.85,Cinquemani et al. (1982),3,1960,130
Island Beach,39.803,74.094,Salt peat,,6883-5947,-10.38,0.67,Miller et al. (2009),3,5625,200
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Rainbow Island,39.305,74.585,Elphidium spp.,,2235-1921,-4.54,0.18,Miller et al. (2009),4,2580,30
Rainbow Island,39.305,74.585,Elphidium spp.,,2646-2314,-5.15,0.18,Miller et al. (2009),4,2880,30
Rainbow Island,39.305,74.585,Elphidium spp.,,3658-3376,-6.98,0.19,Miller et al. (2009),4,3770,40
Rainbow Island,39.304,74.588,Elphidium spp.,,1957-1561,-3.60,0.18,Miller et al. (2009),4,2330,70
Rainbow Island,39.304,74.588,Elphidium spp.,,2720-2340,-5.18,0.19,Miller et al. (2009),4,2960,70
Cheesequake Marsh,40.439,74.273,Marine shell,,5446-3122,-10.29,0.59,Psuty et al. (1986),3,4330,460
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Great Bay,39.549,74.342,Undiff peat,,7933-6477,-7.89,0.55,Psuty et al. (1986),3,6380,355
Great Bay,39.510,74.320,Undiff peat,,8287-8027,-7.14,0.19,Miller et al. (2009),3,7340,35
Island Beach,39.803,74.094,Undiff peat,,5442-4976,0.40,0.18,Miller et al. (2009),3,4532,58
Core 3,39.664,74.099,Undiff peat,,10242-9502,-3.80,1.09,Miller et al. (2009),3,8800,170
Cheesequake Marsh,40.400,74.300,Undiff peat,,8508-7756,-11.24,0.59,Cinquemani et al. (1982),3,7320,185
Cheesequake Marsh,40.439,74.273,Cedar peat,,7930-7020,-10.99,0.59,Psuty et al. (1986),2,6610,215
Cheesequake Marsh,40.439,74.273,Undiff peat,,9087-8163,-11.79,0.59,Psuty et al. (1986),3,7735,195
Cheesequake Marsh,40.435,74.281,Cedar peat,,7413-6403,-7.59,0.59,Psuty et al. (1986),2,6020,215
Union Beach,40.446,74.161,Undiff peat,,897-497,-0.59,0.58,Psuty et al. (1986),3,660,110
Union Beach,40.446,74.161,Undiff peat,,3201-2363,-0.54,0.58,Psuty et al. (1986),3,2695,145
,,,,,,,,,,,
Inner Delaware,,,,,,,,,,,
Index Points,,,,,,,,,,,
Leipsic River,39.253,75.460,Salt peat,,1055-727,-1.51,0.79,Nikitina et al. (2000),1,970,80
Leipsic River,39.251,75.469,Salt peat,,1232-960,-2.81,0.79,Nikitina et al. (2000),1,1160,50
Leipsic River,39.429,75.457,Salt peat,,1857-1543,-3.13,0.79,Nikitina et al. (2000),1,1770,60
Leipsic River,39.251,75.469,Salt peat,,2302-1818,-3.14,0.79,Nikitina et al. (2000),1,2030,80
Leipsic River,39.249,75.469,Salt peat,,2308-1870,-2.79,0.79,Nikitina et al. (2000),1,2070,80
Leipsic River,39.235,75.436,Salt peat,,3244-2810,-5.25,0.79,Nikitina et al. (2000),1,2880,70
Leipsic River,39.248,75.469,Salt peat,,3676-3452,-5.66,0.79,Nikitina et al. (2000),1,3320,40
Leipsic River,39.243,75.442,Salt peat,,3865-3483,-6.86,0.79,Nikitina et al. (2000),1,3430,70
Leipsic River,39.246,75.470,Salt peat,,3861-3641,-8.54,0.79,Nikitina et al. (2000),1,3485,40
Leipsic River,39.247,75.469,Salt peat,,3912-3694,-7.23,0.79,Nikitina et al. (2000),1,3530,40
Leipsic River,39.247,75.469,Salt peat,,4084-3900,-6.61,0.79,Nikitina et al. (2000),1,3660,30
Port Mahon,39.125,75.321,Salt peat,,4851-4299,-8.31,0.85,Belknap (1975),3,4090,100
Leipsic River,39.246,75.411,Salt peat,,5318-4872,-11.52,0.79,Nikitina et al. (2000),1,4490,80
Port Mahon,39.125,75.321,Salt peat,,2307-1721,-5.18,0.58,Marx (1981),3,2020,110
Port Mahon,39.180,75.403,Salt peat,,2739-2361,-6.06,0.60,Marx (1981),3,2490,80
Slaughter Beach,38.905,75.296,Salt peat,,793-539,-1.36,0.85,Kraft (1976),3,720,80
Smyrna,39.302,75.598,Salt peat,,1519-1059,-2.71,0.81,Rogers and Pizzuto (1994),3,1370,110
Sheppards Island,38.926,75.322,Salt peat,,1813-1409,-2.37,0.85,Kraft (1976),3,1690,85
Bowers,39.049,75.388,Salt peat,,2003-1743,-2.21,0.85,Belknap (1975),3,1952,45
Slaughter Beach,38.886,75.265,Spartina,,2844-2356,-3.43,0.79,Belknap (1975),2,2560,95
St Jones River,39.082,75.445,Organic sediment,-18.2,4835-4577,-9.14,0.80,Leorri et al. (2006),3,4170,40
St Jones River,39.073,75.423,Organic sediment,-14.2,2988-2784,-7.34,0.80,Leorri et al. (2006),3,2790,40
Bowers,39.052,75.390,Salt peat,,2036-1736,-4.50,0.80,Belknap (1975),3,1950,55
Bowers,39.052,75.390,Spartina,,3348-3004,-6.02,0.85,Belknap (1975),2,2999,59
Bowers,39.056,75.394,Salt peat,,6273-5723,-16.54,0.86,Belknap (1975),3,5205,110
Sheppards Island,38.922,75.313,Salt peat,,6391-5905,-14.10,1.15,Belknap (1975),3,5345,110
St Jones River,39.071,75.431,Organic sediment,-15.6,4781-4095,-6.54,0.80,Leorri et al. (2006),3,3930,80
Bowers,39.051,75.394,Salt peat,,3691-3403,-5.85,0.81,Belknap (1975),3,3314,63
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Offshore Bowers,39.087,75.228,Marine shell,,2428-1906,-11.50,0.52,Belknap (1975),3,2685,90
Offshore Bowers,39.087,75.228,Marine shell,,2687-2141,-11.67,0.51,Belknap (1975),3,2855,90
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Smyrna,39.320,75.483,Peat,,7931-7497,-13.80,0.63,Belknap (1975),3,6835,115
Sheppards Island,38.929,75.319,Peat,,508-0,1.07,0.61,Kraft (1976),3,285,75
Port Mahon,39.136,75.403,Stump,,3972-3468,-5.48,0.60,Ramsey and Baxter (1996),2,3450,100
Smyrna,39.243,75.584,Fresh peat,,4072-3574,-1.08,0.54,Rogers and Pizzuto (1994),3,3515,85
Port Mahon,39.177,75.408,Peat,,3352-2870,-4.67,0.61,Belknap (1975),3,2945,95
Bowers,39.056,75.394,Peat,,8978-8328,-20.79,0.65,Belknap (1975),3,7730,125
St Jones River,39.082,75.445,Peat,-25,460-0,-0.63,0.52,Leorri et al. (2006),3,230,60
St Jones River,39.090,75.458,Plant,-25.2,4376-3994,-7.13,0.52,Leorri et al. (2006),2,3790,40
,,,,,,,,,,,
Outer Delaware,,,,,,,,,,,
Index Points,,,,,,,,,,,
Horse Island,38.672,75.134,Salt peat,,426-0,-0.80,0.65,Nikitina et al. (2000),2,170,80
Horse Island,38.672,75.134,Salt peat,,961-745,-1.52,0.65,Nikitina et al. (2000),2,960,50
Offshore Rehoboth,38.649,75.021,Salt peat,,8545-8023,-20.19,0.72,Belknap (1975),3,7500,135
Great Marsh,38.786,75.172,Salt peat,,274-0,-0.80,0.75,Ramsey and Baxter (1996),3,80,60
Wolf Glade,38.764,75.097,Spartina,,496-0,-0.94,0.76,Ramsey and Baxter (1996),2,280,60
Great Marsh,38.786,75.171,Salt peat,,725-539,-1.20,0.75,Ramsey and Baxter (1996),3,670,70
Wolf Glade,38.765,75.099,Spartina,,892-512,-1.33,0.76,Ramsey and Baxter (1996),2,690,100
Wolf Glade,38.764,75.098,Spartina,,897-555,-1.73,0.76,Ramsey and Baxter (1996),2,750,70
Wolf Glade,38.768,75.106,Spartina,,900-558,-1.79,0.76,Ramsey and Baxter (1996),2,760,70
Great Marsh,38.785,75.171,Salt peat,,969-689,-1.38,0.75,Ramsey and Baxter (1996),3,930,80
Wolf Glade,38.764,75.098,Spartina,,1048-680,-1.15,0.76,Ramsey and Baxter (1996),2,930,90
Great Marsh,38.786,75.172,Salt peat,,1052-690,-1.05,0.75,Ramsey and Baxter (1996),3,950,90
Wolf Glade,38.761,75.096,Spartina,,1166-664,-1.55,0.76,Ramsey and Baxter (1996),2,940,120
Wolf Glade,38.768,75.106,Spartina,,1170-682,-1.27,0.76,Ramsey and Baxter (1996),2,980,120
Wolf Glade,38.764,75.097,Spartina,,1260-798,-1.48,0.76,Ramsey and Baxter (1996),2,1100,90
Wolf Glade,38.764,75.097,Spartina,,1262-930,-1.94,0.76,Ramsey and Baxter (1996),2,1150,80
Great Marsh,38.785,75.171,Salt peat,,1262-930,-1.29,0.75,Ramsey and Baxter (1996),3,1150,80
Great Marsh,38.785,75.171,Salt peat,,1387-1175,-1.47,0.75,Ramsey and Baxter (1996),3,1370,60
Great Marsh,38.785,75.171,Salt peat,,1712-1390,-1.75,0.75,Ramsey and Baxter (1996),3,1650,70
Horse Island,38.670,75.130,Spartina,,772-530,-0.96,0.64,Belknap (1975),2,690,85
Rehoboth Bay,38.645,75.072,Salt peat,,4786-3690,-6.40,0.66,Belknap (1975),3,3780,170
Rehoboth Bay,38.637,75.069,Salt peat,,3805-2871,-4.58,0.72,Belknap (1975),3,3130,170
Rehoboth Bay,38.645,75.072,Salt peat,,4241-3405,-5.78,0.71,Belknap (1975),3,3520,160
Rehoboth Bay,38.645,75.072,Salt peat,,4822-3892,-5.91,0.76,Belknap (1975),3,3890,170
Rehoboth Bay,38.669,75.070,Salt peat,,5991-5053,-9.23,0.73,Belknap (1975),3,4860,180
Rehoboth Bay,38.669,75.068,Salt peat,,7459-6639,-13.68,0.67,Belknap (1975),3,6190,190
Rehoboth Bay,38.669,75.068,Salt peat,,502-0,-1.00,0.72,Belknap (1975),3,250,140
Rehoboth Bay,38.669,75.070,Salt peat,,630-0,-0.80,0.63,Belknap (1975),3,350,130
Wolf Glade,38.753,75.119,Salt peat,-21.1,2038-1352,-4.33,0.58,Fletcher et al. (1993),3,1775,150
Wolf Glade,38.754,75.120,Salt peat,-20.1,2302-1414,-4.05,0.58,Fletcher et al. (1993),3,1885,170
Wolf Glade,38.754,75.120,Sa,-19.7,2451-1301,-2.40,0.65,Fletcher et al. (1993),2,1910,145
Wolf Glade,38.754,75.116,Salt peat,-26.5,2699-1571,-3.98,0.58,Fletcher et al. (1993),3,2095,205
Wolf Glade,38.754,75.120,Sp,-15.7,3903-3001,-5.96,0.58,Fletcher et al. (1993),2,3250,175
Wolf Glade,38.755,75.116,Sp,-19.4,4380-3254,-4.93,0.58,Fletcher et al. (1993),2,3460,205
Wolf Glade,38.754,75.116,Salt peat,-26.7,4800-3718,-8.08,0.59,Fletcher et al. (1993),3,3805,170
Wolf Glade,38.760,75.100,Spartina,,1043-677,-1.90,0.81,Belknap (1975),2,920,90
Wall Island,38.802,75.204,Salt peat,,2300-1706,-3.91,0.81,Belknap (1975),3,1990,100
Lewes,38.778,75.174,Salt peat,,2713-2127,-5.07,0.81,Belknap (1975),3,2330,100
Wolf Glade,38.753,75.119,Sp,,3578-2720,-6.38,0.58,Fletcher et al. (1993),2,2945,190
Wolf Glade,38.753,75.119,Salt peat,,3829-2849,-7.01,0.58,Fletcher et al. (1993),3,3130,200
Wolf Glade,38.753,75.119,Salt peat,,3890-2880,-6.68,0.58,Fletcher et al. (1993),3,3195,200
Wolf Glade,38.753,75.119,Salt peat,,4283-3271,-7.31,0.58,Fletcher et al. (1993),3,3465,185
Wolf Glade,38.756,75.117,Salt peat,,4082-3840,-7.68,0.59,Fletcher et al. (1993),3,3630,40
Wolf Glade,38.753,75.119,Salt peat,,4522-3404,-7.38,0.58,Fletcher et al. (1993),3,3620,215
Wolf Glade,38.756,75.117,Sp,,4838-3728,-8.38,0.59,Fletcher et al. (1993),2,3870,200
Wolf Glade,38.756,75.117,Salt peat,,4820-3836,-8.98,0.59,Fletcher et al. (1993),3,3860,175
Wolf Glade,38.754,75.116,Jg,,4961-4453,-9.08,0.59,Fletcher et al. (1993),2,4210,85
Wolf Glade,38.756,75.117,Sp/Ds,,5574-4574,-9.78,0.59,Fletcher et al. (1993),2,4420,170
Cape Henlopen,38.783,75.078,Sa,,7561-6945,-16.52,0.64,Ramsey and Baxter (1996),2,6360,140
Cape Henlopen,38.785,75.094,Salt peat,,8327-7510,-19.46,0.77,Belknap (1975),3,7050,220
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Rehoboth Bay,38.669,75.070,Mercenaria,,1941-1259,-6.83,0.60,Belknap (1975),4,2180,150
Rehoboth Bay,38.669,75.068,Cyrtopleura/Tagelus,,2660-1670,-6.86,0.60,Belknap (1975),4,2630,190
Offshore Rehoboth,38.663,75.058,Unidentified Shells,,3208-2722,-8.91,0.53,Ramsey and Baxter (1996),3,3310,90
Rehoboth Beach,38.756,75.082,C. vir,,1801-917,-7.32,0.60,Belknap (1975),4,1950,200
Rehoboth Beach,38.756,75.082,Unidentified Shells,,3042-2108,-8.43,0.80,Belknap (1975),3,3010,180
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Offshore Rehoboth,38.663,75.050,Wood,,7407-6885,-10.86,0.51,Ramsey and Baxter (1996),2,6220,90
Lewes,38.789,75.159,Undiff peat,,532-0,-0.18,0.59,Belknap (1975),3,330,90
Lewes,38.781,75.174,Undiff peat,,2849-2363,-4.08,0.59,Belknap (1975),3,2580,95
Wolf Glade,38.754,75.116,Sc/Sr,-26.8,5289-4665,-7.98,0.54,Fletcher et al (1993),2,4350,85
Wolf Glade,38.755,75.116,Fresh peat,-26.6,5995-4833,-8.88,0.54,Fletcher et al (1993),1,4745,245
,,,,,,,,,,,
Inner Chesapeake,,,,,,,,,,,
Index Points,,,,,,,,,,,
Blackwater,38.400,76.100,Salt peat,,2846-2208,-3.64,0.34,Cinquemani et al. (1982),3,2485,125
Blackwater,38.400,76.100,Salt peat,,3240-2334,-4.12,0.33,Cinquemani et al. (1982),3,2650,180
Blackwater,38.400,76.100,Salt peat,,3357-2730,-3.34,0.34,Cinquemani et al. (1982),3,2835,140
Blackwater,38.400,76.100,Salt peat,,4436-3729,-5.57,0.35,Cinquemani et al. (1982),3,3745,120
Radcliffe Creek,39.000,76.100,Salt peat,,1411-795,-1.92,0.33,Cinquemani et al. (1982),3,1230,155
Radcliffe Creek,39.000,76.100,Salt peat,,4059-3265,-5.17,0.35,Cinquemani et al. (1982),3,3365,145
Radcliffe Creek,39.000,76.100,Salt peat,,5465-4855,-10.87,0.36,Cinquemani et al. (1982),3,4505,115
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Patuxtent River,38.331,76.378,Shell,-1.37,296-111,-10.27,0.67,Colman et al. (2002),3,580,35
Patuxtent River,38.331,76.378,Shell,-1.18,627-429,-10.40,0.67,Colman et al. (2002),3,905,60
Patuxtent River,38.331,76.378,Shell,-0.41,543-418,-11.02,0.67,Colman et al. (2002),3,860,40
Patuxtent River,38.331,76.378,Shell,-7.57,871-665,-11.32,0.67,Colman et al. (2002),3,1210,45
Patuxtent River,38.331,76.378,Shell,-5.35,491-315,-9.77,0.67,Colman et al. (2002),3,780,40
Patuxtent River,38.331,76.378,Shell,-1.25,476-295,-10.06,0.67,Colman et al. (2002),3,750,45
Patuxtent River,38.331,76.378,Shell,-0.91,436-246,-10.34,0.67,Colman et al. (2002),3,675,45
Town Point,38.544,76.427,Shell,-0.14,725-471,-25.63,0.67,Colman et al. (2002),3,1010,85
Town Point,38.544,76.427,Shell,-0.59,355-119,-25.73,0.67,Colman et al. (2002),3,605,40
Town Point,38.544,76.427,Forams,-2.14,921-638,-26.33,0.67,Colman et al. (2002),3,1220,80
Town Point,38.544,76.427,Forams,-2.1,1014-682,-26.83,0.67,Colman et al. (2002),3,1310,80
Town Point,38.544,76.427,Forams,-2.08,905-633,-26.95,0.67,Colman et al. (2002),3,1200,75
Town Point,38.544,76.427,Forams,-2.04,894-633,-27.23,0.67,Colman et al. (2002),3,1190,50
Town Point,38.544,76.427,Forams E.e.,,957-299,-27.23,0.67,Colman et al. (2002),4,1050,180
Town Point,38.544,76.427,Forams E.s.,-2.54,1251-541,-27.23,0.67,Colman et al. (2002),4,1320,195
Town Point,38.544,76.427,Shell,-0.24,1875-1492,-27.83,0.67,Colman et al. (2002),3,2100,80
Town Point,38.544,76.427,Forams E.e,-2.18,1771-1562,-28.03,0.67,Colman et al. (2002),4,2090,30
Town Point,38.544,76.427,Forams E.s.,-2.3,1809-1529,-28.03,0.67,Colman et al. (2002),4,2090,55
Town Point,38.544,76.427,Forams,-2.07,973-674,-28.13,0.67,Colman et al. (2002),3,1290,75
Town Point,38.544,76.427,Shell,0.32,1580-1251,-28.13,0.67,Colman et al. (2002),3,1850,80
Town Point,38.544,76.427,Forams,-1.39,1847-1506,-28.33,0.67,Colman et al. (2002),3,2090,70
Town Point,38.544,76.427,Forams,-0.97,2418-2049,-28.45,0.67,Colman et al. (2002),3,2570,70
Town Point,38.544,76.427,Gastropod,-0.07,857-542,-29.03,0.67,Colman et al. (2002),3,1130,80
Town Point,38.544,76.427,Shell,,413-143,-26.15,0.67,Colman et al. (2002),3,640,50
Town Point,38.544,76.427,Shell,,788-638,-27.54,0.67,Colman et al. (2002),3,1160,40
Town Point,38.544,76.427,Shell,,1677-1403,-28.62,0.67,Colman et al. (2002),3,1980,50
Town Point,38.538,76.430,Shell,-0.72,366-142,-23.11,0.67,Colman et al. (2002),3,625,35
Town Point,38.538,76.430,Shell,-1.04,266-0,-23.88,0.67,Colman et al. (2002),3,535,35
Town Point,38.538,76.430,Shell,-0.4,516-332,-24.20,0.67,Colman et al. (2002),3,815,45
Town Point,38.538,76.430,Shell,0.13,2886-2723,-26.14,0.67,Colman et al. (2002),3,3030,35
Town Point,38.538,76.430,Forams,-0.81,3125-2703,-26.83,0.67,Colman et al. (2002),3,3090,90
Town Point,38.538,76.430,Shell,-0.73,3446-2937,-26.88,0.67,Colman et al. (2002),3,3360,100
Mayo,38.878,76.446,Shell,-2.68,1052-854,-9.32,0.66,Colman et al. (2002),3,1400,40
Mayo,38.878,76.446,Shell,-3.36,893-723,-9.28,0.66,Colman et al. (2002),3,1260,30
Mayo,38.878,76.446,Shell,-2.97,1174-958,-9.52,0.66,Colman et al. (2002),3,1520,40
Mayo,38.878,76.446,Shell,-5.32,1375-1234,-10.18,0.66,Colman et al. (2002),3,1750,35
Mayo,38.878,76.446,Shell,-2.43,1517-1332,-10.54,0.66,Colman et al. (2002),3,1880,35
Mayo,38.878,76.446,Shell,-2.01,1615-1412,-10.94,0.66,Colman et al. (2002),3,1970,30
Mayo,38.878,76.446,Shell,-1.79,1748-1505,-11.25,0.66,Colman et al. (2002),3,2050,45
Mayo,38.878,76.446,Shell,-2.05,1696-1506,-11.33,0.66,Colman et al. (2002),3,2030,35
Mayo,38.878,76.446,Shell,-2.29,1957-1700,-11.70,0.66,Colman et al. (2002),3,2230,50
Mayo,38.878,76.446,Shell,-2.4,1996-1805,-11.92,0.66,Colman et al. (2002),3,2290,35
Mayo,38.878,76.441,Shell,-3.14,2701-2332,-12.47,0.66,Colman et al. (2002),3,2780,75
Mayo,38.878,76.441,Shell,-1.63,3849-3547,-13.90,0.66,Colman et al. (2002),3,3760,55
Mayo,38.879,76.440,Shell,-1.3,4769-4422,-14.40,0.77,Colman et al. (2002),3,4410,45
Mayo,38.879,76.440,Shell,-2.02,5719-5471,-14.75,0.77,Colman et al. (2002),3,5240,55
